X,Y,Name,CAUSE GENERAL,CURRENTSIZE,FIRENUMBER,FIRETYPE,FIREYEAR,Field_1,LATITUDE,LONGITUDE
-124.482653251996,55.6637552396309,G61243,Person,0.009,G61243,Fire,2017,2017,55.66375,-124.482635
-123.119017767996,55.9828391363371,G61952,Lightning,42,G61952,Fire,2017,2017,55.982833,-123.119
-120.560217158382,55.6548394699682,G70081,Person,0.009,G70081,Fire,2017,2017,55.654833,-120.5602
-121.326866938346,54.7557393403291,G71637,Lightning,229,G71637,Fire,2017,2017,54.755733,-121.32685
-122.737750997603,55.9740225865144,G71963,Person,0.009,G71963,Fire,2017,2017,55.974017,-122.737733
-121.131121181754,56.6292556249664,G81982,Person,0.95,G81982,Fire,2017,2017,56.62925,-121.131103
-120.33701377121,52.2785056743011,K10581,Lightning,0.25,K10581,Fire,2017,2017,52.2785,-120.336998
-121.304615542249,50.6621891825794,K21343,Person,0.009,K21343,Fire,2017,2017,50.662183,-121.3046
-120.24813110186,51.4888213541021,K21885,Lightning,0.009,K21885,Fire,2017,2017,51.488815,-120.248116
-118.950645346892,51.1148246885957,K31176,Lightning,0.3,K31176,Fire,2017,2017,51.114818,-118.95063
-118.431518280086,50.8542237303325,K32138,Lightning,0.8,K32138,Fire,2017,2017,50.854217,-118.431503
-119.287849356648,50.9115051387049,K32204,Person,0.009,K32204,Fire,2017,2017,50.911499,-119.287834
-121.456596421765,49.8140545296051,V10195,Person,0.009,V10195,Fire,2017,2017,49.814049,-121.456581
-123.492866769666,49.5176217748368,V51996,Person,0.009,V51996,Fire,2017,2017,49.517616,-123.492851
-124.515983871792,48.9250885319794,V62285,Person,30,V62285,Fire,2017,2017,48.925083,-124.515968
-124.543548790534,48.6398216200939,V62313,Person,16,V62313,Fire,2017,2017,48.639816,-124.543533
-125.42633122552,49.7355056586474,V81486,Person,0.01,V81486,Fire,2017,2017,49.7355,-125.426315
-125.289864245769,49.9009719755985,V81916,Person,0.009,V81916,Fire,2017,2017,49.900967,-125.289848
-126.490434394337,54.4873220471262,R20151,Person,0.2,R20151,Fire,2017,2017,54.487317,-126.490417
-122.525780975801,53.2446728334837,G10777,Lightning,0.5,G10777,Fire,2017,2017,53.244667,-122.525764
-122.82958373405,54.3224891325391,G10903,Lightning,0.004,G10903,Fire,2017,2017,54.322483,-122.829567
-122.316667042793,53.8000050820088,G11088,Lightning,0.8,G11088,Fire,2017,2017,53.799999,-122.31665
-120.231682996286,53.5675061393482,G30854,Lightning,0.009,G30854,Fire,2017,2017,53.5675,-120.231667
-122.674020923843,55.1241741753298,G61584,Lightning,0.009,G61584,Fire,2017,2017,55.124168,-122.674004
-123.3914678665,56.0980058049713,G61649,Lightning,9.4,G61649,Fire,2017,2017,56.098,-123.39145
-124.242801214014,55.8770389786393,G61995,Lightning,0.01,G61995,Fire,2017,2017,55.877033,-124.242783
-121.275751675242,56.7520393117943,G80238,Person,0.009,G80238,Fire,2017,2017,56.752033,-121.275734
-121.836268088145,56.5757887242704,G82114,Lightning,0.009,G82114,Fire,2017,2017,56.575783,-121.83625
-123.141902707391,59.2988558959374,G90201,Lightning,5.62,G90201,Fire,2017,2017,59.29885,-123.141883
-120.455948551838,52.4908736682041,K11632,Lightning,1112.7,K11632,Fire,2017,2017,52.490868,-120.455933
-119.562881604319,51.2743896187119,K11775,Lightning,0.2,K11775,Fire,2017,2017,51.274383,-119.562866
-120.369766291211,50.7362577964315,K20560,Person,0.8,K20560,Fire,2017,2017,50.736252,-120.369751
-120.815834226109,50.9170057569212,K21303,Person,0.2,K21303,Fire,2017,2017,50.917,-120.815819
-120.264298660227,50.6808560131117,K21432,Person,0.1,K21432,Fire,2017,2017,50.68085,-120.264283
-118.941314794414,51.6160225153675,K30958,Lightning,18,K30958,Fire,2017,2017,51.616016,-118.941299
-118.499564886584,50.8514237240733,K31208,Lightning,1.5,K31208,Fire,2017,2017,50.851417,-118.49955
-119.398566917579,50.0114729734683,K50135,Person,0.009,K50135,Fire,2017,2017,50.011467,-119.398552
-119.22351801324,49.7708228831722,K52250,Person,0.009,K52250,Fire,2017,2017,49.770817,-119.223503
-120.91323084407,49.8975048972539,K61417,Person,0.1,K61417,Fire,2017,2017,49.897499,-120.913216
-120.982467587359,50.0033207948427,K62218,Person,0.9,K62218,Fire,2017,2017,50.003315,-120.982452
-123.427162791903,50.6515406272342,V30138,Person,0.6,V30138,Fire,2017,2017,50.651535,-123.427147
-124.14888017664,48.8096214690827,V60160,Person,0.009,V60160,Fire,2017,2017,48.809616,-124.148865
-123.666084299285,48.4089906082347,V60580,Person,1.2,V60580,Fire,2017,2017,48.408985,-123.666069
-123.991165391058,48.917821594466,V60638,Person,0.009,V60638,Fire,2017,2017,48.917816,-123.99115
-123.869629069838,48.9202058047435,V62214,Person,0.3,V62214,Fire,2017,2017,48.9202,-123.869614
-124.017532402432,48.5973068764078,V62283,Person,43.6,V62283,Fire,2017,2017,48.597301,-124.017517
-124.119247684364,49.2368218868894,V72251,Person,0.009,V72251,Fire,2017,2017,49.236816,-124.119232
-126.938180608197,52.2064375446978,VA0330,Person,0.009,VA0330,Fire,2017,2017,52.206432,-126.938164
-123.159617197954,54.598522496693,G10877,Lightning,0.33,G10877,Fire,2017,2017,54.598517,-123.1596
