station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 5.038, 145.1, None, None, None, 1017.0, None, None, None, None, None, 66.64, None, None, -8.51, None, None, None, None, 32.79, None, None, None, None, None, 2017-01-10 09:00:00, None
None, None, None, None, 0.739, 114.2, None, None, None, 1017.0, None, None, None, None, None, 66.42, None, None, -8.26, None, None, None, None, 73.4, None, None, None, None, None, 2017-01-10 10:00:00, None
None, None, None, None, 1.929, 7.1, None, None, None, 1017.0, None, None, None, None, None, 66.25, None, None, -9.0, None, None, None, None, 42.12, None, None, None, None, None, 2017-01-10 11:00:00, None
None, None, None, None, 0.368, 134.9, None, None, None, 1017.0, None, None, None, None, None, 66.04, None, None, -10.27, None, None, None, None, 67.01, None, None, None, None, None, 2017-01-10 12:00:00, None
None, None, None, None, 1.484, 188.6, None, None, None, 1017.0, None, None, None, None, None, 66.54, None, None, -6.652, None, None, None, None, 52.35, None, None, None, None, None, 2017-01-10 13:00:00, None
None, None, None, None, 0.935, 107.2, None, None, None, 1017.0, None, None, None, None, None, 66.69, None, None, -5.407, None, None, None, None, 66.67, None, None, None, None, None, 2017-01-10 15:00:00, None
None, None, None, None, 5.146, 134.2, None, None, None, 1016.0, None, None, None, None, None, 66.76, None, None, -7.04, None, None, None, None, 29.97, None, None, None, None, None, 2017-01-10 16:00:00, None
None, None, None, None, 3.098, 143.2, None, None, None, 1016.0, None, None, None, None, None, 66.85, None, None, -6.774, None, None, None, None, 51.14, None, None, None, None, None, 2017-01-10 17:00:00, None
None, None, None, None, 1.86, 116.1, None, None, None, 1016.0, None, None, None, None, None, 66.97, None, None, -6.296, None, None, None, None, 63.36, None, None, None, None, None, 2017-01-10 18:00:00, None
None, None, None, None, 2.719, 359.8, None, None, None, 1016.0, None, None, None, None, None, 66.57, None, None, -6.464, None, None, None, None, 42.03, None, None, None, None, None, 2017-01-10 19:00:00, None
None, None, None, None, 3.415, 4.175, None, None, None, 1016.0, None, None, None, None, None, 66.45, None, None, -7.26, None, None, None, None, 30.77, None, None, None, None, None, 2017-01-10 20:00:00, None
None, None, None, None, 1.154, 21.17, None, None, None, 1016.0, None, None, None, None, None, 65.97, None, None, -7.59, None, None, None, None, 60.48, None, None, None, None, None, 2017-01-10 21:00:00, None
None, None, None, None, 0.638, 133.3, None, None, None, 1016.0, None, None, None, None, None, 66.03, None, None, -8.4, None, None, None, None, 69.0, None, None, None, None, None, 2017-01-10 22:00:00, None
