station_observations
pcpn_amt_pst24hrs, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
1.0, 888.0, None, -9.2, -9.2, 185.0, None, None, 1.0, 432.0, None, 2020-01-09 01:00:00, None
1.0, 888.0, None, -8.9, -8.9, 185.0, None, None, 0.0, 432.0, None, 2020-01-09 02:00:00, None
1.0, 888.0, None, -8.6, -8.6, 184.0, None, None, 0.0, 432.0, None, 2020-01-09 03:00:00, None
0.0, 887.0, None, -8.6, -8.6, 184.0, None, None, None, 432.0, None, 2020-01-09 04:00:00, None
1.0, 888.0, None, -8.8, -8.8, 184.0, None, None, 1.0, 432.0, None, 2020-01-09 05:00:00, None
1.0, 888.0, None, -8.4, -8.4, 183.0, None, None, 0.0, 432.0, None, 2020-01-09 06:00:00, None
1.0, 888.0, None, -7.6, -7.6, 179.0, None, None, 0.0, 433.0, None, 2020-01-09 07:00:00, None
0.0, 887.0, None, -7.1, -7.1, 182.0, None, None, None, 433.0, None, 2020-01-09 08:00:00, None
0.0, 887.0, None, -6.7, -6.7, 185.0, None, None, 0.0, 433.0, None, 2020-01-09 09:00:00, None
0.0, 887.0, None, -5.7, -5.7, 187.0, None, None, None, 435.0, None, 2020-01-09 12:00:00, None
0.0, 887.0, None, -5.9, -5.9, 189.0, None, None, 0.0, 436.0, None, 2020-01-09 13:00:00, None
0.0, 887.0, None, -5.7, -5.7, 190.0, None, None, 0.0, 437.0, None, 2020-01-09 14:00:00, None
0.0, 887.0, None, -5.6, -5.6, 192.0, None, None, 0.0, 438.0, None, 2020-01-09 15:00:00, None
0.0, 887.0, None, -5.7, -5.7, 194.0, None, None, 0.0, 438.0, None, 2020-01-09 16:00:00, None
0.0, 887.0, None, -5.9, -5.9, 194.0, None, None, 0.0, 439.0, None, 2020-01-09 17:00:00, None
1.0, 888.0, None, -6.2, -6.2, 195.0, None, None, 1.0, 440.0, None, 2020-01-09 18:00:00, None
1.0, 888.0, None, -5.8, -5.8, 195.0, None, None, 0.0, 440.0, None, 2020-01-09 19:00:00, None
1.0, 888.0, None, -7.2, -7.2, 193.0, None, None, 0.0, 440.0, None, 2020-01-09 20:00:00, None
1.0, 888.0, None, -6.5, -6.5, 192.0, None, None, 0.0, 441.0, None, 2020-01-09 21:00:00, None
1.0, 888.0, None, -6.9, -6.9, 193.0, None, None, 0.0, 441.0, None, 2020-01-09 22:00:00, None
1.0, 888.0, None, -6.7, -6.7, 193.0, None, None, 0.0, 443.0, None, 2020-01-09 23:00:00, None
1.0, 888.0, None, -6.6, -6.6, 193.0, None, None, 0.0, 444.0, None, 2020-01-10 00:00:00, None
0.0, 888.0, None, -6.4, -6.4, 193.0, None, None, 0.0, 445.0, None, 2020-01-10 01:00:00, None
0.0, 888.0, None, -6.4, -6.4, 195.0, None, None, 0.0, 447.0, None, 2020-01-10 02:00:00, None
0.0, 888.0, None, -6.3, -6.3, 196.0, None, None, 0.0, 450.0, None, 2020-01-10 03:00:00, None
