station_observations
wind_speed, dew_point, wind_direction, relative_humidity, air_temperature, time, total_cloud_cover
3.6, -18.5, 270.0, None, -16.0, 2012-03-13 18:00:00, 9.0
9.4, -14.6, 135.0, None, -12.2, 2012-03-13 22:00:00, 1.0
9.4, -27.0, 225.0, None, -22.5, 2012-03-14 14:00:00, 0.0
9.4, -27.1, 270.0, None, -22.6, 2012-03-14 15:00:00, 0.0
9.4, -12.5, 180.0, None, -8.9, 2012-03-14 18:00:00, 0.0
9.4, -8.4, 90.0, None, -2.0, 2012-03-14 22:00:00, 10.0
0.0, -24.1, 0.0, None, -20.2, 2012-03-15 14:00:00, 0.0
3.6, -24.4, 270.0, None, -20.4, 2012-03-15 15:00:00, 9.0
0.0, -14.2, 0.0, None, -9.5, 2012-03-15 18:00:00, 9.0
3.6, -12.5, 90.0, None, -4.1, 2012-03-15 22:00:00, 6.0
9.4, -13.8, 0.0, None, -11.5, 2012-03-16 18:00:00, 4.0
9.4, -13.1, 0.0, None, -8.0, 2012-03-16 22:00:00, 6.0
0.0, -17.7, 0.0, None, -15.3, 2012-03-17 14:00:00, 6.0
0.0, -18.0, 0.0, None, -15.6, 2012-03-17 15:00:00, 6.0
3.6, -15.7, 0.0, None, -13.1, 2012-03-17 18:00:00, 6.0
9.4, -13.4, 0.0, None, -10.0, 2012-03-17 22:00:00, 6.0
0.0, -19.6, 0.0, None, -17.0, 2012-03-18 14:00:00, 6.0
0.0, -19.8, 0.0, None, -17.2, 2012-03-18 15:00:00, 6.0
9.4, -22.9, 225.0, None, -19.2, 2012-03-19 14:00:00, 6.0
3.6, -23.2, 225.0, None, -19.4, 2012-03-19 15:00:00, 6.0
0.0, -17.4, 0.0, None, -14.6, 2012-03-19 18:00:00, 6.0
3.6, -14.4, 0.0, None, -12.4, 2012-03-19 21:00:00, 6.0
0.0, -20.3, 0.0, None, -17.0, 2012-03-20 14:00:00, 6.0
0.0, -20.5, 0.0, None, -17.2, 2012-03-20 15:00:00, 6.0
9.4, -17.2, 180.0, None, -14.9, 2012-03-20 18:00:00, 6.0
9.4, -14.4, 270.0, None, -12.0, 2012-03-20 22:00:00, 6.0
3.6, -23.9, 270.0, None, -20.0, 2012-03-21 14:00:00, 3.0
3.6, -23.7, 90.0, None, -20.6, 2012-03-21 15:00:00, 6.0
0.0, -17.9, 0.0, None, -15.0, 2012-03-21 18:00:00, 1.0
9.4, -17.3, 135.0, None, -14.0, 2012-03-21 22:00:00, 2.0
3.6, -27.9, 270.0, None, -23.2, 2012-03-22 14:00:00, 1.0
0.0, -28.7, 0.0, None, -23.8, 2012-03-22 15:00:00, 9.0
3.6, -17.8, 90.0, None, -14.4, 2012-03-22 18:00:00, 9.0
9.4, -23.7, 270.0, None, -20.6, 2012-03-23 14:00:00, 6.0
0.0, -23.2, 0.0, None, -20.1, 2012-03-23 15:00:00, 4.0
0.0, -15.2, 0.0, None, -9.5, 2012-03-23 18:00:00, 1.0
9.4, -6.4, 135.0, None, -4.0, 2012-03-23 22:00:00, 3.0
3.6, -16.3, 270.0, None, -13.6, 2012-03-24 14:00:00, 10.0
0.0, -16.1, 0.0, None, -13.5, 2012-03-24 15:00:00, 9.0
0.0, -7.9, 0.0, None, 0.1, 2012-03-24 18:00:00, 10.0
9.4, -6.9, 0.0, None, 1.4, 2012-03-24 22:00:00, 1.0
0.0, -14.1, 0.0, None, -11.8, 2012-03-25 14:00:00, 6.0
0.0, -14.2, 0.0, None, -11.4, 2012-03-25 15:00:00, 6.0
16.6, -16.1, 180.0, None, -13.5, 2012-03-26 14:00:00, 0.0
9.4, -16.4, 180.0, None, -12.8, 2012-03-26 15:00:00, 0.0
0.0, -1.1, 0.0, None, -0.1, 2012-03-26 18:00:00, 1.0
9.4, -9.6, 135.0, None, 4.1, 2012-03-26 22:00:00, 3.0
9.4, -15.0, 180.0, None, -10.9, 2012-03-27 14:00:00, 3.0
3.6, -15.7, 180.0, None, -10.6, 2012-03-27 15:00:00, 3.0
0.0, -12.6, 0.0, None, 1.0, 2012-03-27 18:00:00, 3.0
9.4, -2.5, 90.0, None, 7.0, 2012-03-27 22:00:00, 10.0
3.6, -5.3, 270.0, None, 1.5, 2012-03-28 18:00:00, 1.0
9.4, -6.4, 90.0, None, 8.5, 2012-03-28 22:00:00, 2.0
0.0, -6.3, 0.0, None, -3.4, 2012-03-29 14:00:00, 6.0
9.4, -6.2, 270.0, None, -3.3, 2012-03-29 15:00:00, 10.0
3.6, -3.6, 0.0, None, 4.6, 2012-03-29 18:00:00, 10.0
9.4, -2.8, 45.0, None, 7.5, 2012-03-29 22:00:00, 6.0
3.6, -1.0, 270.0, None, -0.4, 2012-03-30 14:00:00, 6.0
0.0, -1.6, 0.0, None, -0.5, 2012-03-30 15:00:00, 6.0
0.0, -1.2, 0.0, None, 0.9, 2012-03-30 18:00:00, 6.0
9.4, -0.5, 270.0, None, 1.5, 2012-03-30 22:00:00, 6.0
3.6, -2.2, 315.0, None, -1.5, 2012-03-31 14:00:00, 6.0
9.4, -3.5, 90.0, None, -1.4, 2012-03-31 15:00:00, 1.0
0.0, -2.4, 0.0, None, 1.1, 2012-03-31 18:00:00, 6.0
9.4, -2.8, 270.0, None, 2.5, 2012-03-31 22:00:00, 6.0
0.0, -5.1, 0.0, None, -4.0, 2012-04-01 14:00:00, 6.0
3.6, -5.1, 0.0, None, -4.0, 2012-04-01 15:00:00, 6.0
0.0, -4.9, 0.0, None, -2.5, 2012-04-01 18:00:00, 6.0
0.0, -3.5, 0.0, None, 0.5, 2012-04-01 22:00:00, 4.0
3.6, None, 315.0, None, -10.6, 2012-04-02 14:00:00, 9.0
9.4, -12.9, 270.0, None, -9.6, 2012-04-02 15:00:00, 3.0
16.6, -3.6, 135.0, None, -1.0, 2012-04-02 18:00:00, 9.0
9.4, None, 45.0, None, -1.2, 2012-04-02 22:00:00, 6.0
3.6, -8.8, 270.0, None, -7.5, 2012-04-03 14:00:00, 6.0
0.0, -9.7, 0.0, None, -7.3, 2012-04-03 15:00:00, 6.0
3.6, -7.4, 315.0, None, -5.9, 2012-04-03 18:00:00, 6.0
0.0, -5.0, 0.0, None, 1.5, 2012-04-03 22:00:00, 4.0
0.0, -5.7, 0.0, None, -4.2, 2012-04-04 14:00:00, 6.0
0.0, -5.8, 0.0, None, -4.6, 2012-04-04 15:00:00, 6.0
9.4, -5.0, 90.0, None, 0.1, 2012-04-04 18:00:00, 10.0
9.4, -5.0, 0.0, None, 4.4, 2012-04-04 22:00:00, 4.0
0.0, -5.6, 0.0, None, -4.4, 2012-04-05 14:00:00, 4.0
0.0, -6.1, 0.0, None, -4.0, 2012-04-05 15:00:00, 4.0
9.4, -3.2, 270.0, None, 2.2, 2012-04-05 18:00:00, 4.0
9.4, -2.6, 270.0, None, 1.7, 2012-04-05 22:00:00, 6.0
9.4, -8.0, 270.0, None, -6.5, 2012-04-06 14:00:00, 0.0
0.0, -5.5, 0.0, None, -4.1, 2012-04-06 15:00:00, 0.0
9.4, -0.7, 135.0, None, 3.8, 2012-04-06 18:00:00, 0.0
9.4, 6.5, 135.0, None, 7.9, 2012-04-06 22:00:00, 9.0
9.4, -4.4, 270.0, None, -4.2, 2012-04-07 14:00:00, 10.0
0.0, -7.8, 0.0, None, -3.2, 2012-04-07 15:00:00, 2.0
9.4, -6.8, 45.0, None, 7.1, 2012-04-07 18:00:00, 0.0
3.6, 7.3, 45.0, None, 10.0, 2012-04-07 22:00:00, 10.0
