station_observations
time, ONE_DAY_PRECIPITATION, MAX_TEMP, MIN_TEMP
2012-12-05 00:00:00, 0.0, 3.3, -4.3
2012-12-06 00:00:00, 0.0, 1.9, -7.6
2012-12-07 00:00:00, 1.3, -2.8, -11.2
2012-12-08 00:00:00, 0.0, -6.0, -11.6
2012-12-09 00:00:00, 3.6, -1.9, -12.7
2012-12-11 00:00:00, 0.0, 2.4, -3.6
2012-12-12 00:00:00, 0.0, -0.1, -5.5
2012-12-13 00:00:00, 18.8, -0.5, -4.3
2012-12-14 00:00:00, 0.0, -0.4, -14.6
2012-12-15 00:00:00, 0.0, -0.2, -8.7
2012-12-16 00:00:00, None, -1.7, -15.1
2012-12-17 00:00:00, 1.1, -5.5, -13.0
2012-12-18 00:00:00, 0.0, -8.6, -17.0
2012-12-19 00:00:00, 0.0, 0.5, -18.0
2012-12-20 00:00:00, 2.0, 0.6, -8.0
2012-12-21 00:00:00, 0.0, -8.0, -13.0
2012-12-22 00:00:00, 0.3, -12.7, -15.6
2012-12-23 00:00:00, 0.5, -13.9, -16.1
2012-12-24 00:00:00, 0.0, -11.7, -16.1
2012-12-25 00:00:00, 0.0, -12.4, -14.6
2012-12-26 00:00:00, 1.3, -11.3, -13.8
2012-12-27 00:00:00, 0.0, -10.8, -18.1
2012-12-28 00:00:00, 3.0, -2.0, -12.9
2012-12-29 00:00:00, 1.8, -2.3, -5.6
2012-12-30 00:00:00, 0.0, -4.8, -10.3
2012-12-31 00:00:00, 0.0, -2.4, -15.1
