station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
7.8, 1.284, 71.8, 71.83, 2018-01-10 14:00:00, 7.842
7.9, 1.468, 71.3, 71.29, 2018-01-10 15:00:00, 7.856
7.4, 0.671, 73.4, 73.36, 2018-01-10 16:00:00, 7.353
6.7, 0.467, 77.4, 77.36, 2018-01-10 17:00:00, 6.692
6.2, 0.404, 83.9, 83.9, 2018-01-10 18:00:00, 6.239
6.1, 0.244, 87.1, 87.1, 2018-01-10 19:00:00, 6.1
5.8, 0.09, 89.7, 89.7, 2018-01-10 20:00:00, 5.809
5.4, 0.314999, 92.8, 92.8, 2018-01-10 21:00:00, 5.365
5.2, 0.331, 94.1, 94.1, 2018-01-10 22:00:00, 5.21
5.1, 0.317999, 95.2, 95.2, 2018-01-10 23:00:00, 5.14
5.1, 0.25, 96.4, 96.4, 2018-01-11 00:00:00, 5.091
5.2, 0.533999, 97.2, 97.2, 2018-01-11 01:00:00, 5.161
5.0, 0.354999, 97.6, 97.6, 2018-01-11 02:00:00, 4.993
4.8, 0.522, 97.9, 97.9, 2018-01-11 03:00:00, 4.799
4.3, 0.55, 97.4, 97.4, 2018-01-11 04:00:00, 4.324
4.0, 0.463999, 97.4, 97.4, 2018-01-11 05:00:00, 4.033
3.8, 0.463999, 97.7, 97.7, 2018-01-11 06:00:00, 3.84
3.7, 0.476999, 97.9, 97.9, 2018-01-11 07:00:00, 3.736
3.7, 0.411, 98.0, 98.0, 2018-01-11 08:00:00, 3.695
3.6, 0.697, 97.8, 97.8, 2018-01-11 09:00:00, 3.578
3.7, 0.4, 97.5, 97.5, 2018-01-11 10:00:00, 3.686
3.7, 0.538999, 97.3, 97.3, 2018-01-11 11:00:00, 3.701
3.9, 0.442999, 97.2, 97.2, 2018-01-11 12:00:00, 3.86
3.8, 0.407, 97.1, 97.1, 2018-01-11 13:00:00, 3.825
3.3, 0.479, 96.4, 96.4, 2018-01-11 14:00:00, 3.255
1.5, 1.388, 96.4, 96.4, 2018-01-11 15:00:00, 1.472
1.1, 1.304, 97.3, 97.3, 2018-01-11 16:00:00, 1.141
1.3, 0.950999, 97.4, 97.4, 2018-01-11 17:00:00, 1.274
1.4, 0.699, 97.6, 97.6, 2018-01-11 18:00:00, 1.445
1.7, 0.705999, 97.6, 97.6, 2018-01-11 19:00:00, 1.735
1.9, 0.451999, 97.7, 97.7, 2018-01-11 20:00:00, 1.851
1.8, 0.368, 97.8, 97.8, 2018-01-11 21:00:00, 1.83
1.8, 0.754998, 97.8, 97.8, 2018-01-11 22:00:00, 1.759
1.8, 0.561999, 97.8, 97.8, 2018-01-11 23:00:00, 1.751
1.9, 0.185, 98.0, 98.0, 2018-01-12 00:00:00, 1.904
2.0, 0.203998, 98.1, 98.1, 2018-01-12 01:00:00, 1.969
2.0, 0.354999, 98.2, 98.2, 2018-01-12 02:00:00, 1.997
2.2, 0.174998, 98.1, 98.1, 2018-01-12 03:00:00, 2.159
2.3, 0.293, 98.1, 98.1, 2018-01-12 04:00:00, 2.305
2.3, 0.335, 98.2, 98.2, 2018-01-12 05:00:00, 2.328
2.5, 0.444, 98.3, 98.3, 2018-01-12 06:00:00, 2.481
2.6, 0.726, 98.4, 98.4, 2018-01-12 07:00:00, 2.571
2.7, 0.574998, 98.4, 98.4, 2018-01-12 08:00:00, 2.717
3.0, 0.777, 98.5, 98.5, 2018-01-12 09:00:00, 2.955
3.4, 0.654999, 98.2, 98.2, 2018-01-12 10:00:00, 3.384
4.1, 0.421999, 97.3, 97.3, 2018-01-12 11:00:00, 4.077
4.4, 0.497999, 94.9, 94.9, 2018-01-12 12:00:00, 4.402
4.9, 0.649999, 93.4, 93.4, 2018-01-12 13:00:00, 4.941
5.4, 0.523998, 92.4, 92.4, 2018-01-12 14:00:00, 5.395
5.4, 0.845, 94.0, 94.0, 2018-01-12 15:00:00, 5.397
5.3, 0.409, 94.0, 94.0, 2018-01-12 16:00:00, 5.317
5.2, 0.328999, 95.6, 95.6, 2018-01-12 17:00:00, 5.205
5.2, 0.287, 96.5, 96.5, 2018-01-12 18:00:00, 5.175
4.9, 0.356999, 97.4, 97.4, 2018-01-12 19:00:00, 4.86
4.9, 0.238998, 98.0, 98.0, 2018-01-12 20:00:00, 4.92
5.0, 0.172, 98.1, 98.1, 2018-01-12 21:00:00, 5.006
4.9, 0.298999, 98.2, 98.2, 2018-01-12 22:00:00, 4.881
5.0, 0.451999, 98.4, 98.4, 2018-01-12 23:00:00, 4.955
4.9, 0.54, 98.5, 98.5, 2018-01-13 00:00:00, 4.887
5.2, 0.377999, 98.6, 98.6, 2018-01-13 01:00:00, 5.196
6.0, 0.759998, 98.7, 98.7, 2018-01-13 02:00:00, 5.994
5.9, 0.582, 98.5, 98.5, 2018-01-13 03:00:00, 5.922
5.9, 0.582, 98.4, 98.4, 2018-01-13 04:00:00, 5.874
5.9, 0.246, 98.3, 98.3, 2018-01-13 05:00:00, 5.855
5.9, 0.462, 98.4, 98.4, 2018-01-13 06:00:00, 5.95
5.9, 0.481999, 98.5, 98.5, 2018-01-13 07:00:00, 5.893
5.9, 0.439, 98.6, 98.6, 2018-01-13 08:00:00, 5.879
5.8, 0.559, 98.6, 98.6, 2018-01-13 09:00:00, 5.79
6.1, 0.323, 98.4, 98.4, 2018-01-13 10:00:00, 6.085
6.5, 0.206, 97.7, 97.7, 2018-01-13 11:00:00, 6.534
7.0, 0.226998, 96.3, 96.3, 2018-01-13 12:00:00, 7.048
7.3, 0.34, 95.6, 95.6, 2018-01-13 13:00:00, 7.348
7.6, 0.321999, 96.0, 96.0, 2018-01-13 14:00:00, 7.59
7.7, 0.717998, 97.1, 97.1, 2018-01-13 15:00:00, 7.659
7.8, 0.635999, 97.1, 97.1, 2018-01-13 16:00:00, 7.819
7.6, 0.398999, 97.7, 97.7, 2018-01-13 17:00:00, 7.638
7.6, 0.656, 98.0, 98.0, 2018-01-13 18:00:00, 7.558
7.4, 0.629, 98.0, 98.0, 2018-01-13 19:00:00, 7.376
7.3, 0.444, 97.7, 97.7, 2018-01-13 20:00:00, 7.35
6.8, 0.416, 97.6, 97.6, 2018-01-13 21:00:00, 6.792
6.2, 0.344998, 98.4, 98.4, 2018-01-13 22:00:00, 6.206
5.5, 0.377999, 98.6, 98.6, 2018-01-13 23:00:00, 5.453
5.0, 0.335999, 98.8, 98.8, 2018-01-14 00:00:00, 5.001
5.1, 0.411, 99.0, 99.0, 2018-01-14 01:00:00, 5.13
4.9, 0.570999, 99.0, 99.0, 2018-01-14 02:00:00, 4.921
4.9, 0.709999, 99.1, 99.1, 2018-01-14 03:00:00, 4.935
4.5, 0.560998, 99.1, 99.1, 2018-01-14 04:00:00, 4.467
4.1, 0.672999, 99.1, 99.1, 2018-01-14 05:00:00, 4.143
3.8, 0.541998, 99.2, 99.2, 2018-01-14 06:00:00, 3.759
3.3, 0.745, 99.2, 99.2, 2018-01-14 07:00:00, 3.282
2.8, 0.722998, 99.1, 99.1, 2018-01-14 08:00:00, 2.808
2.4, 0.644999, 99.1, 99.1, 2018-01-14 09:00:00, 2.397
3.6, 0.460999, 98.9, 98.9, 2018-01-14 10:00:00, 3.561
4.1, 0.402999, 98.9, 98.9, 2018-01-14 11:00:00, 4.058
5.4, 0.453999, 98.9, 98.9, 2018-01-14 12:00:00, 5.38
6.5, 0.573, 98.4, 98.4, 2018-01-14 13:00:00, 6.506
7.4, 0.46, 98.1, 98.1, 2018-01-14 14:00:00, 7.441
9.6, 0.384, 93.9, 93.9, 2018-01-14 15:00:00, 9.62
10.4, 0.361, 87.0, 87.0, 2018-01-14 16:00:00, 10.44
7.9, 0.358999, 93.4, 93.4, 2018-01-14 17:00:00, 7.911
5.9, 0.291999, 97.4, 97.4, 2018-01-14 18:00:00, 5.893
5.0, 0.223, 98.0, 98.0, 2018-01-14 19:00:00, 4.958
4.3, 0.263998, 98.4, 98.4, 2018-01-14 20:00:00, 4.327
4.1, 0.465, 98.6, 98.6, 2018-01-14 21:00:00, 4.117
3.5, 0.17, 98.7, 98.7, 2018-01-14 22:00:00, 3.465
3.0, 0.130998, 98.7, 98.7, 2018-01-14 23:00:00, 3.034
2.8, 0.217998, 98.7, 98.7, 2018-01-15 00:00:00, 2.779
2.6, 0.305999, 98.8, 98.8, 2018-01-15 01:00:00, 2.624
2.2, 0.544, 98.8, 98.8, 2018-01-15 02:00:00, 2.231
1.7, 0.467999, 99.0, 99.0, 2018-01-15 03:00:00, 1.734
1.3, 0.395999, 99.2, 99.2, 2018-01-15 04:00:00, 1.267
0.7, 0.428999, 99.4, 99.4, 2018-01-15 05:00:00, 0.72
0.7, 0.500998, 99.5, 99.5, 2018-01-15 06:00:00, 0.675998
1.0, 0.55, 99.4, 99.4, 2018-01-15 07:00:00, 0.964999
1.0, 0.412, 99.4, 99.4, 2018-01-15 08:00:00, 1.007
-3276020.0, None, -8190.0, None, 2018-01-29 16:00:00, None
-6523.0, None, -8190.0, None, 2018-01-29 17:00:00, None
-2005.0, None, -8190.0, None, 2018-01-29 18:00:00, None
-2351.8, None, -8190.0, None, 2018-01-29 19:00:00, None
-3243.0, None, -8190.0, None, 2018-01-29 20:00:00, None
-3451.0, None, -8190.0, None, 2018-01-29 21:00:00, None
-3687.0, None, -8190.0, None, 2018-01-29 22:00:00, None
-3731.0, None, -8190.0, None, 2018-01-29 23:00:00, None
-3919.0, None, -8190.0, None, 2018-01-30 00:00:00, None
-5195.0, None, -8190.0, None, 2018-01-30 01:00:00, None
-1773.4, None, -8190.0, None, 2018-01-30 02:00:00, None
