RelativeHumidity,AirTemperature,time,Rain,week_of_year
78.0,15.5,2020-10-04 15:15:00,0.0,40
81.0,14.9,2020-10-04 15:30:00,0.0,40
82.0,14.3,2020-10-04 15:45:00,0.0,40
82.0,14.7,2020-10-04 16:00:00,0.0,40
77.0,15.6,2020-10-04 16:15:00,0.0,40
81.0,15.0,2020-10-04 16:30:00,0.0,40
85.0,14.8,2020-10-04 16:45:00,0.0,40
84.0,14.7,2020-10-04 17:00:00,0.0,40
87.0,14.3,2020-10-04 17:15:00,0.0,40
84.0,14.4,2020-10-04 17:30:00,0.0,40
87.0,13.9,2020-10-04 17:45:00,0.0,40
89.0,13.5,2020-10-04 18:00:00,0.0,40
91.0,13.0,2020-10-04 18:15:00,0.0,40
92.0,12.5,2020-10-04 18:30:00,0.0,40
90.0,12.8,2020-10-04 18:45:00,0.0,40
90.0,12.8,2020-10-04 19:00:00,0.0,40
93.0,12.2,2020-10-04 19:15:00,0.0,40
93.0,12.5,2020-10-04 19:30:00,0.0,40
90.0,12.6,2020-10-04 19:45:00,0.0,40
90.0,12.6,2020-10-04 20:00:00,0.0,40
88.0,13.1,2020-10-04 20:15:00,0.0,40
90.0,13.1,2020-10-04 20:30:00,0.0,40
87.0,13.0,2020-10-04 20:45:00,0.0,40
90.0,12.9,2020-10-04 21:00:00,0.0,40
90.0,12.9,2020-10-04 21:15:00,0.0,40
91.0,12.9,2020-10-04 21:30:00,0.0,40
94.0,12.5,2020-10-04 21:45:00,0.0,40
94.0,12.4,2020-10-04 22:00:00,0.0,40
95.0,12.3,2020-10-04 22:15:00,0.0,40
95.0,12.3,2020-10-04 22:30:00,0.0,40
94.0,12.3,2020-10-04 22:45:00,0.0,40
94.0,12.4,2020-10-04 23:00:00,0.0,40
89.0,12.9,2020-10-04 23:15:00,0.0,40
92.0,12.7,2020-10-04 23:30:00,0.0,40
94.0,12.4,2020-10-04 23:45:00,0.0,40
98.0,12.1,2020-10-05 00:00:00,0.0,40
98.0,12.1,2020-10-05 00:15:00,0.0,40
98.0,12.1,2020-10-05 00:30:00,0.0,40
98.0,12.0,2020-10-05 00:45:00,0.0,40
98.0,11.8,2020-10-05 01:00:00,0.0,40
99.0,11.8,2020-10-05 01:15:00,0.0,40
99.0,11.5,2020-10-05 01:30:00,0.0,40
99.0,11.4,2020-10-05 01:45:00,0.0,40
99.0,11.3,2020-10-05 02:00:00,0.0,40
