station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, time, MIN_TEMP
None, 204.0, None, None, None, None, None, None, None, None, None, 2012-06-19 16:00:00, None
None, 195.0, None, None, None, None, None, None, None, None, None, 2012-06-20 16:00:00, None
None, 183.0, None, None, None, None, None, None, None, None, None, 2012-06-21 16:00:00, None
None, 168.0, None, None, None, None, None, None, None, None, None, 2012-06-22 16:00:00, None
None, 155.0, None, None, None, None, None, None, None, None, None, 2012-06-23 16:00:00, None
None, 134.0, None, None, None, None, None, None, None, None, None, 2012-06-24 16:00:00, None
None, 122.0, None, None, None, None, None, None, None, None, None, 2012-06-25 16:00:00, None
None, 98.0, None, None, None, None, None, None, None, None, None, 2012-06-26 16:00:00, None
None, 67.0, None, None, None, None, None, None, None, None, None, 2012-06-27 16:00:00, None
None, 24.0, None, None, None, None, None, None, None, None, None, 2012-06-28 16:00:00, None
None, 9.0, None, None, None, None, None, None, None, None, None, 2012-06-29 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-06-30 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-01 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-02 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-03 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-04 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-05 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-06 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-07 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-08 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-09 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-10 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-11 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-12 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-13 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-14 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-15 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-16 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-17 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-18 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-19 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-20 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-21 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-22 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-23 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-24 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-25 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-26 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-27 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-28 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-29 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-30 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-07-31 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-01 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-02 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-03 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-04 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-05 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-06 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-07 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-08 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-09 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-10 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-11 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-12 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-13 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-14 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-15 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-16 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-17 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-18 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-19 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-20 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-21 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-22 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-23 16:00:00, None
