ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
,,,,2019-07-26 14:00:00,,,30,183.0, None, None,0.0, None,6.5, None,31.7, None, None, None,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 15:00:00,,,30,183.0, None, None,0.0, None,5.3, None,31.9, None, None, None,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 16:00:00,,,30,173.0, None, None,0.0, None,4.7, None,32.8, None, None, None,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 17:00:00,,,30,220.0, None, None,0.0, None,5.3, None,31.7, None, None, None,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 18:00:00,,,30,294.0, None, None,0.0, None,17.6, None,30.6, None, None, None,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 19:00:00,,,30,303.0, None, None,0.0, None,21.5, None,28.4, None, None, None,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 20:00:00,,,30,305.0, None, None,0.0, None,22.7, None,26.9, None, None, None,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 21:00:00,,,30,157.0, None, None,0.0, None,7.9, None,26.0, None, None, None,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 22:00:00,,,30,320.0, None, None,0.0, None,7.9, None,24.7, None, None, None,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-26 23:00:00,,,30,217.0, None, None,0.0, None,6.6, None,23.0, None, None, None,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 00:00:00,,,30,250.0, None, None,0.0, None,6.5, None,22.9, None, None, None,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 01:00:00,,,30,253.0, None, None,0.0, None,5.7, None,21.9, None, None, None,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 02:00:00,,,30,264.0, None, None,0.0, None,8.6, None,22.0, None, None, None,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 03:00:00,,,30,271.0, None, None,0.0, None,5.7, None,21.2, None, None, None,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 04:00:00,,,30,257.0, None, None,0.0, None,7.0, None,20.9, None, None, None,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 05:00:00,,,30,228.0, None, None,0.0, None,6.2, None,21.2, None, None, None,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 06:00:00,,,30,190.0, None, None,0.0, None,7.2, None,21.3, None, None, None,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 07:00:00,,,30,295.0, None, None,0.6, None,10.3, None,15.6, None, None, None,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 08:00:00,,,30,272.0, None, None,0.0, None,6.0, None,18.3, None, None, None,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 09:00:00,,,30,168.0, None, None,0.0, None,3.3, None,21.4, None, None, None,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 10:00:00,,,30,185.0, None, None,0.0, None,9.2, None,21.4, None, None, None,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 11:00:00,,,30,192.0, None, None,0.2, None,11.3, None,25.5, None, None, None,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 12:00:00,,,30,13.0, None, None,0.0, None,17.1, None,19.9, None, None, None,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 13:00:00,,,30,22.0, None, None,0.0, None,10.5, None,22.3, None, None, None,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 14:00:00,,,30,52.0, None, None,0.0, None,7.3, None,24.2, None, None, None,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 15:00:00,,,30,18.0, None, None,0.0, None,12.2, None,21.0, None, None, None,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 16:00:00,,,30,23.0, None, None,0.0, None,14.3, None,20.6, None, None, None,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 17:00:00,,,30,306.0, None, None,0.0, None,18.5, None,20.4, None, None, None,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-07-27 18:00:00,,,30,263.0, None, None,0.0, None,6.3, None,22.2, None, None, None,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
