RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
42.84, None, None, None, 1.869, 157.0, 1.0, 13.1, None, 823.0, None, None, None, None, None, None, None, 13.25, None, 18.1, 43.0, 37.11, None, 13.3, 1016.0, -0.1, None,2022-09-27 21:00:00, 823.0,39
45.19, None, None, None, 1.23, 141.0, 1.0, 12.9, None, 823.0, None, None, None, None, None, None, None, 12.91, None, 18.1, 45.0, 42.75, None, 12.9, 1015.9, 0.0, None,2022-09-27 22:00:00, 823.0,39
43.59, None, None, None, 2.057, 154.5, 1.0, 12.8, None, None, None, None, None, None, None, None, None, 13.33, None, 18.1, 44.0, 34.32, None, 13.3, None, None, None,2022-09-27 23:00:00, None,39
40.37, None, None, None, 5.456, 139.3, 0.0, 12.8, None, 823.0, None, None, None, None, None, None, None, 13.43, None, 18.1, 40.0, 10.81, None, 13.4, 1014.7, 0.0, None,2022-09-28 00:00:00, 823.0,39
43.24, None, None, None, 3.833, 143.5, None, None, None, 823.0, None, None, None, None, None, None, None, 12.99, None, None, None, 14.79, None, None, None, None, None,2022-09-28 01:00:00, None,39
44.32, None, None, None, 4.558, 143.3, 1.0, 12.8, None, 822.0, None, None, None, None, None, None, None, 12.93, None, 18.1, 44.0, 9.88, None, 12.9, 1012.8, -0.1, None,2022-09-28 02:00:00, 822.0,39
47.5, None, None, None, 2.982, 158.2, 2.0, 12.2, None, 823.0, None, None, None, None, None, None, None, 12.2, None, 18.1, 48.0, 29.34, None, 12.2, 1014.2, -0.1, None,2022-09-28 03:00:00, 823.0,39
49.19, None, None, None, 2.265, 148.3, 1.0, 11.0, None, 823.0, None, None, None, None, None, None, None, 11.0, None, 18.1, 49.0, 40.12, None, 11.0, 1014.3, -0.1, None,2022-09-28 04:00:00, 823.0,39
52.5, None, None, None, 0.334, 59.22, 0.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 9.64, None, 18.1, 53.0, 39.4, None, 9.6, 1013.8, -0.1, None,2022-09-28 05:00:00, 822.0,39
45.76, None, None, None, 0.335, 58.07, -2.0, 9.1, None, 822.0, None, None, None, None, None, None, None, 9.66, None, 18.1, 46.0, 32.81, None, 9.7, 1014.1, -0.1, None,2022-09-28 06:00:00, 822.0,39
47.49, None, None, None, 0.312, 47.01, -1.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 9.89, None, 10.4, 47.0, 38.2, None, 9.9, 1014.5, 0.0, None,2022-09-28 07:00:00, 822.0,39
47.26, None, None, None, 1.179, 61.12, 0.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 10.39, None, 10.8, 47.0, 33.74, None, 10.4, 1014.9, 0.1, None,2022-09-28 08:00:00, 822.0,39
47.42, None, None, None, 5.02, 61.93, 1.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 11.83, None, 11.9, 47.0, 24.8, None, 11.8, 1014.6, 0.1, None,2022-09-28 09:00:00, 822.0,39
49.13, None, None, None, 4.512, 70.03, 2.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 12.56, None, 12.8, 49.0, 21.81, None, 12.6, 1014.5, 0.2, None,2022-09-28 10:00:00, 822.0,39
41.57, None, None, None, 3.084, 61.48, 3.0, 9.6, None, 823.0, None, None, None, None, None, None, None, 16.13, None, 16.6, 42.0, 52.3, None, 16.1, 1014.9, 0.3, None,2022-09-28 11:00:00, 823.0,39
30.24, None, None, None, 7.239, 244.5, 3.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 20.22, None, 20.2, 30.0, 65.6, None, 20.2, 1012.8, 0.4, None,2022-09-28 12:00:00, 822.0,39
25.99, None, None, None, 7.57, 231.2, 1.0, 9.6, None, 821.0, None, None, None, None, None, None, None, 21.01, None, 21.2, 26.0, 46.09, None, 21.0, 1011.5, 0.0, None,2022-09-28 13:00:00, 821.0,39
26.77, None, None, None, 6.312, 241.7, 1.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 20.81, None, 21.8, 27.0, 58.74, None, 20.8, 1012.8, 0.0, None,2022-09-28 14:00:00, 822.0,39
32.53, None, None, None, 6.798, 205.3, 3.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 19.63, None, 21.8, 33.0, 60.52, None, 19.6, 1013.2, -0.2, None,2022-09-28 15:00:00, 822.0,39
41.6, None, None, None, 5.929, 218.6, 5.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 17.74, None, 21.8, 42.0, 65.16, None, 17.7, 1013.8, -0.4, None,2022-09-28 16:00:00, 822.0,39
38.89, None, None, None, 5.171, 340.1, 4.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 17.46, None, 21.8, 39.0, 68.54, None, 17.5, 1014.2, -0.2, None,2022-09-28 17:00:00, 822.0,39
52.65, None, None, None, 6.941, 237.6, 5.0, 9.6, None, 822.0, None, None, None, None, None, None, None, 13.91, None, 21.8, 53.0, 46.32, None, 13.9, 1014.9, -0.3, None,2022-09-28 18:00:00, 822.0,39
57.44, None, None, None, 4.974, 211.5, 4.0, 12.1, None, 822.0, None, None, None, None, None, None, None, 12.19, None, 14.1, 57.0, 39.74, None, 12.2, 1015.2, -0.3, None,2022-09-28 19:00:00, 822.0,39
62.13, None, None, None, 4.752, 202.0, 4.0, 10.6, None, 822.0, None, None, None, None, None, None, None, 10.66, None, 14.1, 62.0, 33.21, None, 10.7, 1015.5, -0.1, None,2022-09-28 20:00:00, 822.0,39
57.63, None, None, None, 2.168, 151.4, 3.0, 10.0, None, 822.0, None, None, None, None, None, None, None, 11.16, None, 14.1, 58.0, 33.86, None, 11.2, 1015.1, -0.1, None,2022-09-28 21:00:00, 822.0,39
62.25, None, None, None, 2.031, 133.5, None, None, None, 823.0, None, None, None, None, None, None, None, 10.83, None, None, None, 51.74, None, None, None, None, None,2022-09-28 22:00:00, None,39
64.06, None, None, None, 0.617, 136.6, None, None, None, 822.0, None, None, None, None, None, None, None, 10.45, None, None, None, 61.11, None, None, None, None, None,2022-09-28 23:00:00, None,39
